typed_response,target_response,typed_det,typed_stem,typed_ending
jeb stamob,jeb stamok,correct,correct,unmappable no match: ob
jeb kredaf,dap kredesh,"('big', 'p')",correct,unmappable no match: af
jeb thamof,jeb skunok,correct,unmappable no match: tham,unmappable no match: of
jeb rozof,jeb thebok,correct,unmappable no match: roz,unmappable no match: of
lom sarbol,lom sarbool,correct,correct,unmappable no match: ol
ked sibaf,ked sibaaf,correct,correct,unmappable no match: af
ked chetaf,ked hullaaf,correct,small testing,unmappable no match: af
jeb teepok,jeb teepok,correct,correct,correct
jeb pabok,jeb foudok,correct,unmappable no match: pab,correct
jeb manok,jeb pavok,correct,unmappable no match: man,correct
jeb sanok,jeb sarbok,correct,unmappable no match: san,correct
dap dopak ,dap tamesh,correct,unmappable no match: dop,unmappable no match: ak
lom plimol,lom plimool,correct,correct,unmappable no match: ol
lom ghool,ked biffaaf,"('big', 's')",unmappable no match: ghool,unmappable no match: 
lom fusool,lom chagool,correct,unmappable no match: fus,correct
ked guraf,ked buraaf,correct,unmappable no match: gur,unmappable no match: af
jeb manok,jeb pexok,correct,unmappable no match: man,correct
jeb flanok,jeb monok,correct,unmappable no match: flan,correct
jeb hanof,dap hullesh,"('big', 'p')",unmappable no match: han,unmappable no match: of
ked gumaf,ked zimbaaf,correct,unmappable no match: gum,unmappable no match: af
jeb kalof,dap bepesh,"('big', 'p')",unmappable no match: kal,unmappable no match: of
lom manool,lom zoutool,correct,unmappable no match: man,correct
jeb fanof,dap sibesh,"('big', 'p')",unmappable no match: fan,unmappable no match: of
lom monool,lom roozool,correct,big training,correct
lom fasool,lom teepool,correct,unmappable no match: fas,correct
lom manool,lom vorool,correct,unmappable no match: man,correct
jeb razool,jeb roozok,correct,unmappable no match: raz,"('big', 'p')"
lom manool,lom pexool,correct,unmappable no match: man,correct
lom fasool,ked zeevaaf,"('big', 's')",unmappable no match: fas,"('big', 'p')"
jeb nasok,jeb naosok,correct,unmappable no match: nas,correct
lom kasool,lom glarmool,correct,unmappable no match: kas,correct
lom gasool,lom skunool,correct,unmappable no match: gas,correct
lom nawool,ked tochaaf,"('big', 's')",unmappable no match: naw,"('big', 'p')"
lom manool,lom foudool,correct,unmappable no match: man,correct
ked zebesh,ked zeevaaf,correct,unmappable no match: zeb,"('small', 's')"
lam zautoke,lom zoutok,unmappable no match: lam,unmappable no match: zaut,unmappable no match: oke
lam stamule,jeb stamool,unmappable no match: lam,correct,unmappable no match: ule
jeb foudule,jeb foudool,correct,correct,unmappable no match: ule
lam teepok,lom teepok,unmappable no match: lam,correct,correct
no lcue,jeb monool,couldn't,parse,syllables
dop zimbesh,lom chagok,unmappable no match: dop,small testing,"('small', 's')"
jeb pimuke,jeb plimool,correct,unmappable no match: pim,unmappable no match: uke
ked hullof,dap hullesh,"('small', 's')",correct,unmappable no match: of
ked zabule,ked biffaaf,correct,unmappable no match: zab,unmappable no match: ule
dap bepsh,ked bepaaf,"('small', 'p')",unmappable no match: bepsh,unmappable no match: 
dont know,jeb vorool,unmappable no match: dont,unmappable no match: know,unmappable no match: 
lam fodule ,lom vorok,unmappable no match: lam,unmappable no match: fod,unmappable no match: ule
ked zebesh,dap heefesh,"('small', 's')",unmappable no match: zeb,correct
ked zabule,ked tamaaf,correct,unmappable no match: zab,unmappable no match: ule
ked zabule,ked heefaaf,correct,unmappable no match: zab,unmappable no match: ule
dap zimbesh,dap zimbesh,correct,correct,correct
lam zarboke,jeb sarbool,unmappable no match: lam,unmappable no match: zarb,unmappable no match: oke
ked zebash,dap zeevesh,"('small', 's')",unmappable no match: zeb,unmappable no match: ash
lam brozoo;,jeb pexool,unmappable no match: lam,unmappable no match: broz,unmappable no match: oo;
dam kedesh,dap biffesh,unmappable no match: dam,unmappable no match: ked,correct
lam teepok,jeb teepool,unmappable no match: lam,correct,"('big', 's')"
jeb pimule,lom plimok,"('big', 'p')",unmappable no match: pim,unmappable no match: ule
jeb pavool,lom pavok,"('big', 'p')",correct,"('big', 'p')"
ked zibaaf,dap sibesh,"('small', 's')",unmappable no match: zib,"('small', 'p')"
jeb foudule,lom foudok,"('big', 'p')",correct,unmappable no match: ule
ked biffaff,jeb chagool,"('small', 's')",small training,unmappable no match: aff
lam frusoke,lom frusok,unmappable no match: lam,correct,unmappable no match: oke
ked boraf,ked buraaf,correct,unmappable no match: bor,unmappable no match: af
jeb pavule,jeb pavool,correct,correct,unmappable no match: ule
dap buresh,dap buresh,correct,correct,correct
dap chetesh,lom pumok,"('small', 'p')",small testing,"('small', 's')"
dont know,lom skunok,unmappable no match: dont,unmappable no match: know,unmappable no match: 
dap chetesh,dap chetesh,correct,correct,correct
job rozool,dap tochesh,unmappable no match: job,unmappable no match: roz,"('big', 'p')"
dont know,lom monok,unmappable no match: dont,unmappable no match: know,unmappable no match: 
penguin,jeb skunool,unmappable no match: penguin,unmappable no match: peng,unmappable no match: uin
dop zimbesh,ked zimbaaf,unmappable no match: dop,correct,"('small', 's')"
geb garmool,lom glarmok,unmappable no match: geb,unmappable no match: garm,"('big', 'p')"
dep garmool,jeb naosool,unmappable no match: dep,unmappable no match: garm,correct
lam teepok,jeb thebool,unmappable no match: lam,big training,"('big', 's')"
ked hullof,ked hullaaf,correct,correct,unmappable no match: of
dap chetule,ked chetaaf,"('small', 'p')",correct,unmappable no match: ule
lam frusule,jeb frusool,unmappable no match: lam,correct,unmappable no match: ule
poninl,ked tochaaf,unmappable no match: poninl,unmappable no match: pon,unmappable no match: inl
jeb foudule,ked kredaaf,"('big', 'p')",big training,unmappable no match: ule
jeb rozool,jeb roozool,correct,unmappable no match: roz,correct
lam homok,jeb pumool,unmappable no match: lam,unmappable no match: hom,"('big', 's')"
jeb razool,lom pexok,"('big', 'p')",unmappable no match: raz,"('big', 'p')"
jeb zautool,jeb zoutool,correct,unmappable no match: zaut,correct
ked kredeff,dap tamesh,"('small', 's')",small testing,unmappable no match: eff
jeb rozool,lom roozok,"('big', 'p')",unmappable no match: roz,"('big', 'p')"
ked kredef,dap kredesh,"('small', 's')",correct,unmappable no match: ef
dap bepesh,dap bepesh,correct,correct,correct
lam teepok,lom thebok,unmappable no match: lam,big training,correct
lam zarbook,lom sarbok,unmappable no match: lam,unmappable no match: zarb,unmappable no match: ook
lam stamok,lom stamok,unmappable no match: lam,correct,correct
geb garmool,jeb glarmool,unmappable no match: geb,unmappable no match: garm,correct
ked sibaaf,ked sibaaf,correct,correct,correct
red,lom naosok,unmappable no match: red,unmappable no match: red,unmappable no match: 
something something,jeb hullaaf,couldn't,parse,syllables
something something,ked plimool,couldn't,parse,syllables
something something,jeb buraaf,couldn't,parse,syllables
something something,lom glarmok,couldn't,parse,syllables
something something,ked chagool,couldn't,parse,syllables
something something,lom frusok,couldn't,parse,syllables
something something,jeb sibaaf,couldn't,parse,syllables
something something,lom plimok,couldn't,parse,syllables
something something,dap zimbesh,couldn't,parse,syllables
something something,ked roozool,couldn't,parse,syllables
something something,jeb bepaaf,couldn't,parse,syllables
something something,ked thebool,couldn't,parse,syllables
something something,dap heefesh,couldn't,parse,syllables
something something,lom thebok,couldn't,parse,syllables
something something,lom pexok,couldn't,parse,syllables
something something,lom stamok,couldn't,parse,syllables
something something,jeb kredaaf,couldn't,parse,syllables
something something,ked stamool,couldn't,parse,syllables
something something,dap hullesh,couldn't,parse,syllables
something something,jeb zeevaaf,couldn't,parse,syllables
something something,lom pavok,couldn't,parse,syllables
something something,dap bepesh,couldn't,parse,syllables
something something,ked frusool,couldn't,parse,syllables
something something,dap tochesh,couldn't,parse,syllables
something something,dap zeevesh,couldn't,parse,syllables
something something,ked glarmool,couldn't,parse,syllables
something something,lom zoutok,couldn't,parse,syllables
something something,ked zoutool,couldn't,parse,syllables
something something,lom teepok,couldn't,parse,syllables
something something,jeb heefaaf,couldn't,parse,syllables
something something,ked pavool,couldn't,parse,syllables
something something,lom naosok,couldn't,parse,syllables
something something,lom roozok,couldn't,parse,syllables
something something,lom foudok,couldn't,parse,syllables
something something,ked teepool,couldn't,parse,syllables
something something,ked vorool,couldn't,parse,syllables
something something,jeb biffaaf,couldn't,parse,syllables
something something,dap tamesh,couldn't,parse,syllables
something something,ked naosool,couldn't,parse,syllables
something something,dap chetesh,couldn't,parse,syllables
something something,lom monok,couldn't,parse,syllables
something something,lom pumok,couldn't,parse,syllables
something something,ked monool,couldn't,parse,syllables
something something,ked skunool,couldn't,parse,syllables
something something,dap sibesh,couldn't,parse,syllables
something something,lom chagok,couldn't,parse,syllables
something something,dap buresh,couldn't,parse,syllables
something something,jeb chetaaf,couldn't,parse,syllables
something something,ked pexool,couldn't,parse,syllables
something something,lom skunok,couldn't,parse,syllables
something something,jeb zimbaaf,couldn't,parse,syllables
something something,lom vorok,couldn't,parse,syllables
something something,ked foudool,couldn't,parse,syllables
something something,lom sarbok,couldn't,parse,syllables
something something,ked sarbool,couldn't,parse,syllables
something something,ked pumool,couldn't,parse,syllables
something something,jeb tamaaf,couldn't,parse,syllables
something something,jeb tochaaf,couldn't,parse,syllables
something something,dap kredesh,couldn't,parse,syllables
something something,dap biffesh,couldn't,parse,syllables
Jeb Sorok,lom pavok,unmappable no match: Jeb,unmappable no match: rok,unmappable no match: 
Something Hollesh,dap hullesh,unmappable no match: Something,unmappable no match: llesh,unmappable no match: 
Jeb Zoutok,lom pexok,unmappable no match: Jeb,unmappable no match: tok,unmappable no match: 
Something Monok,lom monok,unmappable no match: Something,unmappable no match: nok,unmappable no match: 
Something Chitesh,dap chetesh,unmappable no match: Something,unmappable no match: hit,correct
Something Sarbool,jeb frusool,unmappable no match: Something,unmappable no match: rbool,unmappable no match: 
Jeb Zorbok,lom vorok,unmappable no match: Jeb,unmappable no match: rbok,unmappable no match: 
Something Zarbool,ked sibaaf,unmappable no match: Something,unmappable no match: rbool,unmappable no match: 
Lom Gartesh,jeb glarmool,unmappable no match: Lom,unmappable no match: rtesh,unmappable no match: 
Dop Zitesh,ked zeevaaf,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Doresh Something,dap biffesh,unmappable no match: Doresh,unmappable no match: meth,unmappable no match: ing
Something Sarbool,jeb sarbool,unmappable no match: Something,unmappable no match: rbool,unmappable no match: 
Dop Chargool,jeb chagool,unmappable no match: Dop,unmappable no match: harg,correct
Jeb Something,jeb skunool,unmappable no match: Jeb,unmappable no match: meth,unmappable no match: ing
Something Hollesh,ked hullaaf,unmappable no match: Something,unmappable no match: llesh,unmappable no match: 
Dop Sitesh,ked kredaaf,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Jeb Sitool,lom plimok,unmappable no match: Jeb,unmappable no match: tool,unmappable no match: 
Dop Sibool,lom frusok,unmappable no match: Dop,unmappable no match: bool,unmappable no match: 
Something Woodesh,jeb stamool,unmappable no match: Something,unmappable no match: desh,unmappable no match: 
Jeb Sarbok,jeb pavool,unmappable no match: Jeb,unmappable no match: rbok,unmappable no match: 
Something Nousool,jeb naosool,unmappable no match: Something,unmappable no match: sool,unmappable no match: 
Something Kasool,jeb foudool,unmappable no match: Something,unmappable no match: sool,unmappable no match: 
Dop Jitesh,dap tochesh,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Something Garbool,lom glarmok,unmappable no match: Something,unmappable no match: rbool,unmappable no match: 
Something Monok,jeb monool,unmappable no match: Something,unmappable no match: nok,unmappable no match: 
Dop Vitesh,ked buraaf,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Jeb Sartool,jeb zoutool,unmappable no match: Jeb,unmappable no match: rtool,unmappable no match: 
Something Teepool,jeb teepool,unmappable no match: Something,unmappable no match: pool,unmappable no match: 
Something Sarbok,lom sarbok,unmappable no match: Something,unmappable no match: rbok,unmappable no match: 
Something Gurbok,ked bepaaf,unmappable no match: Something,unmappable no match: rbok,unmappable no match: 
Jeb Sitek,lom pumok,unmappable no match: Jeb,unmappable no match: tek,unmappable no match: 
Something Zitool,jeb vorool,unmappable no match: Something,unmappable no match: tool,unmappable no match: 
Gar Woodesh,lom stamok,unmappable no match: Gar,unmappable no match: desh,unmappable no match: 
Dop Zitesh,dap buresh,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Dop Monool,ked tochaaf,unmappable no match: Dop,unmappable no match: nool,unmappable no match: 
Dop Zitool,dap kredesh,unmappable no match: Dop,unmappable no match: tool,unmappable no match: 
Something Thebool,lom thebok,unmappable no match: Something,unmappable no match: heb,"('big', 'p')"
Something Zitok,dap zimbesh,unmappable no match: Something,unmappable no match: tok,unmappable no match: 
Jeb Thebok,jeb thebool,unmappable no match: Jeb,unmappable no match: heb,"('big', 's')"
Jeb Sorbol,jeb pexool,unmappable no match: Jeb,unmappable no match: rbol,unmappable no match: 
Something Zortook,lom roozok,unmappable no match: Something,unmappable no match: rtook,unmappable no match: 
Something Sarbool,ked zimbaaf,unmappable no match: Something,unmappable no match: rbool,unmappable no match: 
Dop Charbok,lom chagok,unmappable no match: Dop,unmappable no match: harb,correct
Jeb Zitool,lom zoutok,unmappable no match: Jeb,unmappable no match: tool,unmappable no match: 
Gar Sartool,dap bepesh,unmappable no match: Gar,unmappable no match: rtool,unmappable no match: 
Jeb Sartool,lom foudok,unmappable no match: Jeb,unmappable no match: rtool,unmappable no match: 
Something Zibook,jeb roozool,unmappable no match: Something,unmappable no match: book,unmappable no match: 
Dop Sitesh,jeb plimool,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Something Nousool,lom naosok,unmappable no match: Something,unmappable no match: sool,unmappable no match: 
Something Teepok,lom teepok,unmappable no match: Something,unmappable no match: pok,unmappable no match: 
Dop Sitesh,dap sibesh,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Jeb Sitool,jeb pumool,unmappable no match: Jeb,unmappable no match: tool,unmappable no match: 
Something Chartesh,ked chetaaf,unmappable no match: Something,unmappable no match: hart,"('small', 's')"
Het Sitool,ked heefaaf,unmappable no match: Het,unmappable no match: tool,unmappable no match: 
Dop Zitesh,dap zeevesh,unmappable no match: Dop,unmappable no match: tesh,unmappable no match: 
Something Difesh,ked biffaaf,unmappable no match: Something,unmappable no match: fesh,unmappable no match: 
Jeb Sartool,lom skunok,unmappable no match: Jeb,unmappable no match: rtool,unmappable no match: 
Het Zitool,dap heefesh,unmappable no match: Het,unmappable no match: tool,unmappable no match: 
Something Tomool,ked tamaaf,unmappable no match: Something,unmappable no match: mool,unmappable no match: 
Jeb Tomesh,dap tamesh,unmappable no match: Jeb,unmappable no match: mesh,unmappable no match: 
something nasau,ked naosok,unmappable no match: something,unmappable no match: nas,unmappable no match: au
ked something,ked chagok,couldn't,parse,syllables
something zootool,ked zoutok,unmappable no match: something,unmappable no match: zoot,"('big', 'p')"
something vorok,ked vorok,unmappable no match: something,correct,correct
lom something,lom monool,couldn't,parse,syllables
lom pavool,ked pavok,"('big', 's')",correct,"('big', 'p')"
lom pavool,lom pavool,correct,correct,correct
something something,lom glarmool,couldn't,parse,syllables
something vorok,lom vorool,unmappable no match: something,correct,"('big', 's')"
lom something,ked plimok,couldn't,parse,syllables
something zeevash,dap zeevesh,unmappable no match: something,correct,unmappable no match: ash
something beepash,jeb bepaaf,unmappable no match: something,unmappable no match: beep,unmappable no match: ash
something something,ked glarmok,couldn't,parse,syllables
something froozool,lom frusool,unmappable no match: something,unmappable no match: frooz,correct
jeb tochaf,jeb tochaaf,correct,correct,unmappable no match: af
something sarbok,lom sarbool,unmappable no match: something,correct,"('big', 's')"
something thebol,ked thebok,unmappable no match: something,correct,unmappable no match: ol
dap sitesh,jeb sibaaf,"('small', 'p')",unmappable no match: sit,"('small', 's')"
something bepash,dap bepesh,unmappable no match: something,correct,unmappable no match: ash
something sarbok,ked sarbok,unmappable no match: something,correct,correct
something sitesh,dap sibesh,unmappable no match: something,unmappable no match: sit,correct
something zootook,lom zoutool,unmappable no match: something,unmappable no match: zoot,unmappable no match: ook
ked fodok,ked foudok,correct,unmappable no match: fod,correct
something something,jeb heefaaf,couldn't,parse,syllables
lom stampool,lom stamool,correct,unmappable no match: stamp,correct
something chebok,lom pumool,unmappable no match: something,unmappable no match: cheb,"('big', 's')"
jeb zevaf,jeb zeevaaf,correct,unmappable no match: zev,unmappable no match: af
ked monok,ked monok,correct,correct,correct
something thebol,lom thebool,unmappable no match: something,correct,unmappable no match: ol
something teepool,ked teepok,unmappable no match: something,correct,"('big', 'p')"
jeb something,dap heefesh,couldn't,parse,syllables
jeb something,dap tochesh,couldn't,parse,syllables
something kredesh,dap kredesh,unmappable no match: something,correct,correct
something hibesh,dap hullesh,unmappable no match: something,unmappable no match: hib,correct
lom plimool,lom plimool,correct,correct,correct
ked something,lom chagool,couldn't,parse,syllables
something zeevesh,dap buresh,unmappable no match: something,small training,correct
something nasau,lom naosool,unmappable no match: something,unmappable no match: nas,unmappable no match: au
something cheebesh,dap chetesh,unmappable no match: something,unmappable no match: cheeb,correct
something tamaf,dap tamesh,unmappable no match: something,correct,unmappable no match: af
ked foodok,lom foudool,"('small', 's')",unmappable no match: food,"('big', 's')"
something hibesh,jeb hullaaf,unmappable no match: something,unmappable no match: hib,"('small', 's')"
something bepash,jeb biffaaf,unmappable no match: something,small training,unmappable no match: ash
jeb something,lom teepool,couldn't,parse,syllables
something kredaf,jeb kredaaf,unmappable no match: something,correct,unmappable no match: af
something cheebesh,jeb chetaaf,unmappable no match: something,unmappable no match: cheeb,"('small', 's')"
something vooxool,ked pexok,unmappable no match: something,unmappable no match: voox,"('big', 'p')"
lom something,ked frusok,couldn't,parse,syllables
something buraf,jeb buraaf,unmappable no match: something,correct,unmappable no match: af
lom poomool,ked pumok,"('big', 's')",unmappable no match: poom,"('big', 'p')"
something roozool,lom roozool,unmappable no match: something,correct,correct
something skoonook,ked skunok,unmappable no match: something,unmappable no match: skoon,unmappable no match: ook
something zeebash,jeb zimbaaf,unmappable no match: something,unmappable no match: zeeb,unmappable no match: ash
lom rozool,ked roozok,"('big', 's')",unmappable no match: roz,"('big', 'p')"
something zimbaaf,dap zimbesh,unmappable no match: something,correct,"('small', 'p')"
something vooxool,lom pexool,unmappable no match: something,unmappable no match: voox,correct
something thebok,ked stamok,unmappable no match: something,big training,correct
dap skoonook,lom skunool,"('small', 'p')",unmappable no match: skoon,unmappable no match: ook
something beepash,dap biffesh,unmappable no match: something,unmappable no match: beep,unmappable no match: ash
dap something,jeb tamaaf,couldn't,parse,syllables
idk,ked roozool,unmappable no match: idk,unmappable no match: idk,unmappable no match: 
zeb,jeb foudok,unmappable no match: zeb,unmappable no match: zeb,unmappable no match: 
zeb,dap hullaaf,unmappable no match: zeb,unmappable no match: zeb,unmappable no match: 
jeb,ked stamool,"('big', 'p')",unmappable no match: jeb,unmappable no match: 
no,lom biffesh,couldn't,parse,syllables
garlock,jeb glarmok,unmappable no match: garlock,unmappable no match: garl,unmappable no match: ock
zeb bebop,ked teepool,unmappable no match: zeb,unmappable no match: beb,unmappable no match: op
no,lom zimbesh,couldn't,parse,syllables
no,jeb monok,couldn't,parse,syllables
thbolt,jeb thebok,unmappable no match: thbolt,unmappable no match: thbolt,unmappable no match: 
no,dap tamaaf,couldn't,parse,syllables
zeb,ked pexool,unmappable no match: zeb,unmappable no match: zeb,unmappable no match: 
hynolt,ked pumool,unmappable no match: hynolt,unmappable no match: hynolt,unmappable no match: 
hybolt,jeb pumok,unmappable no match: hybolt,unmappable no match: hybolt,unmappable no match: 
No,jeb roozok,couldn't,parse,syllables
zeb sh,lom bepesh,couldn't,parse,syllables
no,jeb pexok,couldn't,parse,syllables
no,jeb stamok,couldn't,parse,syllables
no,ked pavool,couldn't,parse,syllables
no,ked monool,couldn't,parse,syllables
zarlock,jeb sarbok,unmappable no match: zarlock,unmappable no match: zarl,unmappable no match: ock
no,lom kredesh,couldn't,parse,syllables
no,dap sibaaf,couldn't,parse,syllables
no,dap zimbaaf,couldn't,parse,syllables
zeb bulfash,dap buraaf,unmappable no match: zeb,unmappable no match: bulf,unmappable no match: ash
galsh,jeb chagok,unmappable no match: galsh,unmappable no match: galsh,unmappable no match: 
garlock,ked glarmool,unmappable no match: garlock,unmappable no match: garl,unmappable no match: ock
garlsh,ked chagool,unmappable no match: garlsh,unmappable no match: garlsh,unmappable no match: 
varloo,jeb vorok,unmappable no match: varloo,unmappable no match: varl,unmappable no match: oo
glaseh,lom chetesh,unmappable no match: glaseh,unmappable no match: glas,unmappable no match: eh
zee sorloo,ked naosool,unmappable no match: zee,unmappable no match: sorl,unmappable no match: oo
no,lom tamesh,couldn't,parse,syllables
zeb zorloo,jeb naosok,unmappable no match: zeb,unmappable no match: zorl,unmappable no match: oo
no,lom hullesh,couldn't,parse,syllables
mo,dap heefaaf,couldn't,parse,syllables
no,lom tochesh,couldn't,parse,syllables
vorloo,ked vorool,unmappable no match: vorloo,unmappable no match: vorl,unmappable no match: oo
no,jeb plimok,couldn't,parse,syllables
no,ked frusool,couldn't,parse,syllables
no,ked plimool,couldn't,parse,syllables
zarlick,jeb zoutok,unmappable no match: zarlick,unmappable no match: zarl,unmappable no match: ick
bulafsh,lom buresh,unmappable no match: bulafsh,unmappable no match: bul,unmappable no match: afsh
no,dap tochaaf,couldn't,parse,syllables
no,jeb pavok,couldn't,parse,syllables
no,lom sibesh,couldn't,parse,syllables
thbol,ked thebool,unmappable no match: thbol,unmappable no match: thbol,unmappable no match: 
zarvelish,lom zeevesh,unmappable no match: zarvelish,unmappable no match: zarv,unmappable no match: elish
no,lom heefesh,couldn't,parse,syllables
tybolt,jeb teepok,unmappable no match: tybolt,unmappable no match: tybolt,unmappable no match: 
no,dap kredaaf,couldn't,parse,syllables
no,ked foudool,couldn't,parse,syllables
zenbolt,ked skunool,unmappable no match: zenbolt,unmappable no match: zenb,unmappable no match: olt
garlic,ked sarbool,unmappable no match: garlic,unmappable no match: garl,unmappable no match: ic
gulfesh,dap bepaaf,unmappable no match: gulfesh,unmappable no match: gulf,"('small', 's')"
no,jeb frusok,couldn't,parse,syllables
no,ked zoutool,couldn't,parse,syllables
no,jeb skunok,couldn't,parse,syllables
zelfish,dap zeevaaf,unmappable no match: zelfish,unmappable no match: zelf,unmappable no match: ish
no,dap biffaaf,couldn't,parse,syllables
no,dap chetaaf,couldn't,parse,syllables
dom something,jeb biffaaf,couldn't,parse,syllables
dop sarbool,dap sarbok,unmappable no match: dop,correct,"('big', 'p')"
dom starbool,jeb tochaaf,unmappable no match: dom,unmappable no match: starb,"('big', 'p')"
doc something,dap teepok,couldn't,parse,syllables
